region,pop,proper
al,5074296,Alabama
ak,733583,Alaska
az,7359197,Arizona
ar,3045637,Arkansas
ca,39029342,California
co,5839926,Colorado
ct,3626205,Connecticut
de,1018396,Delaware
dc,671803,District of Columbia
fl,22244823,Florida
ga,10912876,Georgia
hi,1440196,Hawaii
id,1939033,Idaho
il,12582032,Illinois
in,6833037,Indiana
ia,3200517,Iowa
ks,2937150,Kansas
ky,4512310,Kentucky
la,4590241,Louisiana
me,1385340,Maine
md,6164660,Maryland
ma,6981974,Massachusetts
mi,10034113,Michigan
mn,5717184,Minnesota
ms,2940057,Mississippi
mo,6177957,Missouri
mt,1122867,Montana
ne,1967923,Nebraska
nv,3177772,Nevada
nh,1395231,New Hampshire
nj,9261699,New Jersey
nm,2113344,New Mexico
ny,19677151,New York
nc,10698973,North Carolina
nd,779261,North Dakota
oh,11756058,Ohio
ok,4019800,Oklahoma
or,4240137,Oregon
pa,12972008,Pennsylvania
pr,3285874,Puerto Rico
ri,1093734,Rhode Island
sc,5282634,South Carolina
sd,909824,South Dakota
tn,7051339,Tennessee
tx,30029572,Texas
ut,3380800,Utah
vt,647064,Vermont
va,8683619,Virginia
wa,7785786,Washington
wv,1775156,West Virginia
wi,5892539,Wisconsin
wy,581381,Wyoming
